Company,15/12/2023,15/03/2024,21/06/2024,20/09/2024,20/12/2024
3M Co,1.63%,1.96%,1.73%,1.74%,1.76%
AMETEK Inc,1.00%,,,,
Automatic Data Processing Inc,2.78%,2.85%,2.77%,2.47%,2.14%
Axon Enterprise Inc,1.13%,1.03%,1.35%,1.27%,
Boeing Co/The,2.91%,2.93%,3.34%,3.41%,3.43%
Carrier Global Corp,1.51%,1.38%,1.35%,1.07%,
Caterpillar Inc,4.22%,3.90%,3.78%,4.57%,5.52%
Cintas Corp,1.96%,1.87%,1.97%,1.69%,1.54%
Copart Inc,1.36%,1.22%,1.03%,,
CSX Corp,1.47%,1.37%,1.34%,1.29%,1.39%
Cummins Inc,1.16%,1.06%,,1.22%,1.43%
Deere & Co,2.75%,3.12%,3.14%,2.66%,2.61%
Eaton Corp PLC,3.23%,2.77%,2.89%,3.05%,2.53%
Emerson Electric Co,1.70%,1.52%,1.61%,1.56%,1.53%
Fastenal Co,1.03%,1.04%,1.05%,1.14%,1.00%
FedEx Corp,1.59%,1.40%,1.21%,1.14%,1.39%
GE Vernova Inc,2.10%,2.08%,2.96%,3.55%,3.66%
General Dynamics Corp,1.66%,1.70%,1.67%,1.82%,1.88%
General Electric Co,4.13%,5.06%,5.68%,6.68%,6.64%
Honeywell International Inc,3.40%,3.27%,3.17%,2.78%,2.59%
Howmet Aerospace Inc,1.06%,1.23%,1.56%,1.60%,1.68%
Illinois Tool Works Inc,1.85%,1.80%,1.57%,1.60%,1.49%
Johnson Controls International,1.26%,1.26%,1.50%,1.49%,1.50%
L3Harris Technologies Inc,, ,1.04%,1.11%,1.10%
Lockheed Martin Corp,2.69%,2.64%,2.45%,2.31%,2.25%
Norfolk Southern Corp,1.28%,1.27%,1.27%,1.33%,1.34%
Northrop Grumman Corp,1.61%,1.69%,1.59%,1.72%,1.66%
PACCAR Inc,1.36%,1.25%,1.06%,1.09%,1.20%
Parker-Hannifin Corp,1.99%,1.88%,1.86%,2.00%,2.26%
Paychex Inc,1.17%,1.26%,1.20%,,
Quanta Services Inc,1.15%,,1.19%,1.21%,1.30%
Republic Services Inc,1.50%,1.74%,1.73%,1.48%,1.35%
RTX Corp,3.60%,4.17%,4.36%,4.43%,5.00%
Trane Technologies PLC,2.07%,1.88%,2.08%,1.89%,1.77%
TransDigm Group Inc,1.63%,1.82%,1.80%,1.51%,1.47%
Uber Technologies Inc,2.90%,3.59%,3.90%,4.30%,3.38%
Union Pacific Corp,3.27%,3.45%,2.96%,2.74%,2.85%
United Parcel Service Inc,2.53%,2.40%,1.87%,1.49%,1.77%
United Rentals Inc,1.17%,,1.02%,1.27%,1.06%
Waste Management Inc,1.97%,2.17%,2.08%,1.82%,1.79%
WW Grainger Inc,1.28%,1.12%,1.11%,,1.00%
,,,,,
