symbol,reported_date,methodology,outlook_sentiment_score,source_speaker,sentence_count,sector,outlook_sentiment_zscore
ADP,2024-01-31,FinBERT,0.5103290440359464,CFO,45,Industrials_Transport,0.5901601667403444
ADP,2024-05-01,FinBERT,0.24617149215656683,CFO,36,Industrials_Transport,-0.6949663786689383
ADP,2024-07-31,FinBERT,0.23883071802333108,CFO,28,Industrials_Transport,-0.7306792463698881
ADP,2024-10-30,FinBERT,0.5162604912841007,CFO,34,Industrials_Transport,0.6190166588491849
AME,2024-02-06,FinBERT,0.36779931618208156,CFO,33,Industrials_Transport,-0.10324698922316025
AME,2024-05-02,FinBERT,0.6842189554901507,CEO,93,Industrials_Transport,1.4361346225102458
AME,2024-08-01,FinBERT,0.4116549494113037,CEO,92,Industrials_Transport,0.11011067565382991
AME,2024-10-31,FinBERT,0.5632217685723865,CEO,107,Industrials_Transport,0.8474832827262108
AXON,2024-02-27,FinBERT,0.8399889136397879,CFO,29,Industrials_Transport,2.193955501645288
AXON,2024-05-06,FinBERT,0.6124221572753077,CFO,69,Industrials_Transport,1.0868431841060158
AXON,2024-08-06,FinBERT,0.8791011568039743,CFO,31,Industrials_Transport,2.3842365728589945
AXON,2024-11-07,FinBERT,0.5173148285738095,CFO,39,Industrials_Transport,0.6241460099852009
BA,2024-01-31,FinBERT,0.46728418702328883,CFO,103,Industrials_Transport,0.3807469283273361
BA,2024-04-24,FinBERT,0.42066199199278204,CFO,80,Industrials_Transport,0.15392993970566765
BA,2024-07-31,FinBERT,0.29203881628196593,CFO,91,Industrials_Transport,-0.4718218371592646
BA,2024-10-23,FinBERT,0.21718091638895737,CFO,11,Industrials_Transport,-0.8360055358711
CARR,2024-02-06,FinBERT,0.2665260615530652,CFO,94,Industrials_Transport,-0.5959413942771997
CARR,2024-04-25,FinBERT,0.3312427797920953,CFO,93,Industrials_Transport,-0.2810945464432688
CARR,2024-07-25,FinBERT,0.3082440245696085,CFO,80,Industrials_Transport,-0.392983495434151
CARR,2024-10-24,FinBERT,0.3219572161089112,CFO,188,Industrials_Transport,-0.32626881571343996
CAT,2024-02-05,FinBERT,0.1750304660656386,CFO,8,Industrials_Transport,-1.0410674855525042
CAT,2024-04-25,FinBERT,0.08442309785421957,CFO,10,Industrials_Transport,-1.4818723509433596
CAT,2024-08-06,FinBERT,0.14994483831213545,CFO,26,Industrials_Transport,-1.1631090698453639
CAT,2024-10-30,FinBERT,-0.07894245022402158,CFO,111,Industrials_Transport,-2.2766457766773702
CMI,2024-02-06,FinBERT,0.2962031709329294,CFO,72,Industrials_Transport,-0.45156225090713464
CMI,2024-05-02,FinBERT,0.1341720737914649,CFO,52,Industrials_Transport,-1.239843572553275
CMI,2024-08-01,FinBERT,0.07965996427540663,CFO,54,Industrials_Transport,-1.5050449968053183
CMI,2024-11-05,FinBERT,0.10365534912029556,CFO,59,Industrials_Transport,-1.3883074444919954
CPRT,2024-02-22,FinBERT,0.0,None,0,Industrials_Transport,0.0
CPRT,2024-05-16,FinBERT,0.0,None,0,Industrials_Transport,0.0
CPRT,2024-09-12,FinBERT,0.03397172173541604,CEO,9,Industrials_Transport,-1.7273183063643434
CPRT,2024-11-21,FinBERT,0.0,None,0,Industrials_Transport,0.0
CSX,2024-01-24,FinBERT,0.0,None,0,Industrials_Transport,0.0
CSX,2024-04-17,FinBERT,0.5374778950744766,CFO,37,Industrials_Transport,0.7222393327484737
CSX,2024-08-05,FinBERT,0.4204866336901776,CFO,43,Industrials_Transport,0.15307682152664315
CSX,2024-10-16,FinBERT,0.38038431488529145,CFO,30,Industrials_Transport,-0.04202096788714506
CTAS,2024-03-27,FinBERT,0.021190355883883093,CFO,31,Industrials_Transport,-1.7894996539182193
CTAS,2024-07-18,FinBERT,0.28983638648562815,CFO,47,Industrials_Transport,-0.4825366585813168
CTAS,2024-09-25,FinBERT,0.280200215273227,CFO,54,Industrials_Transport,-0.5294166335548134
CTAS,2024-12-19,FinBERT,-0.18202852205756834,CFO,10,Industrials_Transport,-2.778159537812437
DE,2024-02-15,FinBERT,0.6091984344269235,CFO,14,Industrials_Transport,1.0711597717711199
DE,2024-05-16,FinBERT,0.2582278340457154,CFO,96,Industrials_Transport,-0.6363122728444354
DE,2024-08-15,FinBERT,0.2183124638685669,CEO,171,Industrials_Transport,-0.8305005571449905
DE,2024-11-21,FinBERT,-0.25650939830946323,CFO,76,Industrials_Transport,-3.1405090164310185
EMR,2024-02-07,FinBERT,0.5881513634980735,CFO,47,Industrials_Transport,0.9687657672789526
EMR,2024-05-08,FinBERT,0.2873336490090217,CFO,64,Industrials_Transport,-0.49471247693098963
EMR,2024-08-07,FinBERT,0.41960313007928224,CFO,45,Industrials_Transport,0.14877857627395769
EMR,2024-11-05,FinBERT,0.3505818100287849,CFO,44,Industrials_Transport,-0.18701016027742842
ETN,2024-02-01,FinBERT,0.6295135810063597,CFO,125,Industrials_Transport,1.1699929641495659
ETN,2024-04-30,FinBERT,0.6602958337533528,CFO,88,Industrials_Transport,1.319748630232973
ETN,2024-08-01,FinBERT,0.6609527124562768,CFO,86,Industrials_Transport,1.32294434526075
ETN,2024-10-31,FinBERT,0.32814352431340943,CFO,50,Industrials_Transport,-0.296172424998424
FAST,2024-01-18,FinBERT,0.23791025056987283,CFO,52,Industrials_Transport,-0.7351573207244106
FAST,2024-04-11,FinBERT,0.0,None,0,Industrials_Transport,0.0
FAST,2024-07-12,FinBERT,0.10249458774695966,CFO,47,Industrials_Transport,-1.3939545488172236
FAST,2024-10-11,FinBERT,-0.06906887132208794,CEO,14,Industrials_Transport,-2.228610813244404
FDX,2024-03-21,FinBERT,0.49413197876056447,CFO,59,Industrials_Transport,0.5113614407715903
FDX,2024-06-25,FinBERT,0.26660966654149254,CFO,39,Industrials_Transport,-0.5955346559909299
FDX,2024-09-19,FinBERT,0.4079847823341562,CFO,49,Industrials_Transport,0.09225531205217452
FDX,2024-12-19,FinBERT,0.3194874854307174,CFO,74,Industrials_Transport,-0.3382840559818983
GD,2024-01-24,FinBERT,0.369143882178317,CFO,132,Industrials_Transport,-0.096705675368897
GD,2024-04-24,FinBERT,0.39988603860188227,CFO,107,Industrials_Transport,0.052854922092606886
GD,2024-07-24,FinBERT,0.16411606618367353,CFO,61,Industrials_Transport,-1.0941660432720657
GD,2024-10-23,FinBERT,0.2843841488075436,CEO,158,Industrials_Transport,-0.509061796031056
GE,2024-01-23,FinBERT,0.5444077546484064,CFO,153,Industrials_Transport,0.755953101032041
GE,2024-04-23,FinBERT,0.6102197579371513,CFO,75,Industrials_Transport,1.0761285108630227
