symbol,reported_date,methodology,outlook_sentiment_score,source_speaker,sentence_count,sector,outlook_sentiment_zscore
AAPL,2024-02-01,FinBERT,0.36175693616435206,CFO,75,Tech,-0.4546897798449333
AAPL,2024-05-02,FinBERT,0.3487513033110129,CFO,69,Tech,-0.5363649812606545
AAPL,2024-08-01,FinBERT,0.40612813217669136,CFO,59,Tech,-0.17603925877984003
AAPL,2024-10-31,FinBERT,0.48658052013168857,CFO,58,Tech,0.3292006680041191
ACN,2024-03-21,FinBERT,0.29652186720536006,CFO,22,Tech,-0.8643651456404667
ACN,2024-06-20,FinBERT,0.29102042609633044,CFO,23,Tech,-0.8989141226663219
ACN,2024-09-26,FinBERT,0.4468594163415588,CFO,138,Tech,0.07975266427389961
ACN,2024-12-19,FinBERT,0.412656547058006,CFO,27,Tech,-0.13504090011712705
ADBE,2024-03-14,FinBERT,0.0,None,0,Tech,0.0
ADBE,2024-06-13,FinBERT,0.660800903959016,CFO,45,Tech,1.4233023622686798
ADBE,2024-09-12,FinBERT,0.37983601363913083,CEO,11,Tech,-0.34115341365542745
ADBE,2024-12-11,FinBERT,0.14397041100476468,CFO,20,Tech,-1.82238626248648
AMAT,2024-02-15,FinBERT,0.5486873560131095,CFO,57,Tech,0.7192307716607677
AMAT,2024-05-16,FinBERT,0.5630242094930938,CFO,55,Tech,0.8092660209139221
AMAT,2024-08-15,FinBERT,0.6469367848791427,CFO,51,Tech,1.3362358787634605
AMAT,2024-11-14,FinBERT,0.5164226338742239,CFO,45,Tech,0.5166087455715748
AMD,2024-01-30,FinBERT,0.22168292776771395,CFO,49,Tech,-1.334352690363393
AMD,2024-04-30,FinBERT,0.37441890794735133,CFO,41,Tech,-0.3751727653821482
AMD,2024-07-30,FinBERT,0.4415409645662388,CFO,48,Tech,0.04635285783099121
AMD,2024-10-29,FinBERT,0.46718300148515274,CFO,42,Tech,0.2073845087839812
AVGO,2024-03-07,FinBERT,0.22847372774996763,CFO,47,Tech,-1.2917065567550587
AVGO,2024-06-12,FinBERT,0.08684028105881418,CFO,46,Tech,-2.1811627190311387
AVGO,2024-09-05,FinBERT,0.13658847172240368,CFO,48,Tech,-1.868744743040593
AVGO,2024-12-12,FinBERT,0.3807554700787631,CEO,134,Tech,-0.33537923943824083
CRM,2024-02-28,FinBERT,0.4815090216009873,CEO,177,Tech,0.2973517246542989
CRM,2024-05-29,FinBERT,0.7285880769795462,CFO,22,Tech,1.8490049076417523
CRM,2024-08-28,FinBERT,0.569065883839103,CFO,52,Tech,0.8472076554858834
CRM,2024-12-03,FinBERT,0.5065259485675812,CFO,75,Tech,0.4544576934172365
CSCO,2024-02-14,FinBERT,0.42855788046490223,CFO,56,Tech,-0.035180737721927854
CSCO,2024-05-15,FinBERT,0.2548458840651695,CFO,57,Tech,-1.126089765699945
CSCO,2024-08-14,FinBERT,0.3616603913117719,CFO,66,Tech,-0.4552960802356221
CSCO,2024-11-13,FinBERT,0.3537215767907319,CFO,76,Tech,-0.5051517298852674
IBM,2024-01-24,FinBERT,0.549952674160762,CFO,31,Tech,0.7271769528062667
IBM,2024-04-24,FinBERT,0.6028047072760613,CFO,108,Tech,1.0590870181295493
IBM,2024-07-24,FinBERT,0.5399080179285708,CFO,18,Tech,0.6640966452066823
IBM,2024-10-23,FinBERT,0.5152696102532262,CFO,97,Tech,0.5093677725605691
INTC,2024-01-25,FinBERT,0.4283248253895591,CFO,66,Tech,-0.036644320496734294
INTC,2024-04-25,FinBERT,0.17174373688581196,CFO,51,Tech,-1.647970145185691
INTC,2024-08-01,FinBERT,0.14558805496840685,CFO,67,Tech,-1.8122274799005578
INTC,2024-10-31,FinBERT,0.08878697898906579,CFO,54,Tech,-2.1689374819095137
INTU,2024-02-22,FinBERT,0.5563524556011606,CFO,63,Tech,0.7673674951701434
INTU,2024-05-23,FinBERT,0.5857586957257311,CFO,64,Tech,0.9520382922114968
INTU,2024-08-22,FinBERT,0.6334023584014228,CFO,79,Tech,1.2512398604166692
INTU,2024-11-21,FinBERT,0.5168314009668926,CFO,94,Tech,0.5191757974791843
MSFT,2024-01-30,FinBERT,0.4280388882665024,CFO,144,Tech,-0.03844000182814259
MSFT,2024-04-25,FinBERT,0.5296257133156993,CFO,129,Tech,0.5995239089358396
MSFT,2024-07-30,FinBERT,0.4913033083106756,CFO,130,Tech,0.3588597149811
MSFT,2024-10-30,FinBERT,0.4217295176499376,CFO,134,Tech,-0.07806276542030828
MU,2024-03-20,FinBERT,0.0,None,0,Tech,0.0
MU,2024-06-26,FinBERT,0.0,None,0,Tech,0.0
MU,2024-09-25,FinBERT,0.0,None,0,Tech,0.0
MU,2024-12-18,FinBERT,0.0,None,0,Tech,0.0
NOW,2024-01-24,FinBERT,0.7317715476111353,CFO,51,Tech,1.868997060885515
NOW,2024-04-24,FinBERT,0.6324739607889658,CFO,48,Tech,1.2454095357530117
NOW,2024-07-24,FinBERT,0.7079432686521988,CFO,54,Tech,1.7193557858081974
NOW,2024-10-23,FinBERT,0.7133006943371127,CFO,50,Tech,1.7530003478852176
NVDA,2024-02-21,FinBERT,0.3970446502241783,CFO,116,Tech,-0.23308340468136707
NVDA,2024-05-22,FinBERT,0.3865960833981481,CFO,129,Tech,-0.2987002654404751
NVDA,2024-08-28,FinBERT,0.53067976211706,CFO,127,Tech,0.6061433213953443
NVDA,2024-11-20,FinBERT,0.44617339062602307,CFO,130,Tech,0.07544443190069694
ORCL,2024-03-11,FinBERT,0.48274607203705866,CEO,111,Tech,0.30512038494687305
ORCL,2024-06-11,FinBERT,0.46404802830714137,CEO,107,Tech,0.1876969189039377
ORCL,2024-09-09,FinBERT,0.4356839541746332,CEO,108,Tech,0.00957091043767073
ORCL,2024-12-09,FinBERT,0.5094239787626679,CEO,115,Tech,0.47265728451454925
PLTR,2024-02-05,FinBERT,0.5106703245724824,CFO,167,Tech,0.4804843196306533
PLTR,2024-05-06,FinBERT,0.47404047115847553,CFO,141,Tech,0.2504493271658901
