Company,15/12/2023,15/03/2024,21/06/2024,20/09/2024,20/12/2024
Accenture,1.93%,1.90%,1.27%,1.38%,1.48%
Adobe,2.24%,1.69%,1.56%,1.51%,1.18%
Advanced Micro Devices,1.89%,2.34%,1.70%,1.65%,1.16%
Apple,25.85%,20.22%,20.81%,22.67%,23.07%
Applied Materials,1.13%,1.25%,1.28%,1.04%,0.00%
Broadcom,4.45%,4.34%,5.05%,5.22%,6.19%
Cisco Systems,1.70%,1.50%,1.25%,1.36%,1.40%
Intel,1.64%,1.37%,0.00%,0.00%,0.00%
IBM,1.25%,1.33%,1.04%,1.31%,1.24%
Intuit,1.43%,1.33%,1.16%,1.18%,1.08%
Micron Technology,0.00%,0.00%,1.01%,0.00%,0.00%
Microsoft,23.18%,23.47%,21.87%,21.14%,19.47%
NVIDIA,10.16%,16.65%,20.37%,18.59%,19.79%
Oracle,2.39%,2.62%,2.55%,3.04%,2.85%
Palantir Technologies,0.00%,0.00%,0.00%,0.00%,1.10%
QUALCOMM,1.34%,1.42%,1.55%,1.23%,1.02%
Salesforce,2.13%,2.17%,1.55%,1.67%,1.97%
ServiceNow,1.20%,1.16%,1.00%,1.26%,1.35%
Texas Instruments,1.29%,1.19%,1.16%,1.21%,1.02%
